word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24
bout,0.17552,1.8703,0.26534,0.65955,-0.36934,0.88778,0.17733,-0.73951,-0.11222,-0.10299,-1.502,0.8959,-4.668,-0.45727,0.28866,0.6642,0.15218,-0.94967,-1.5712,0.53013,1.35,0.48866,1.1783,-0.1252,0.40879
enough,0.065719,0.33664,-0.66608,0.34636,0.085934,0.51693,1.5726,-0.98017,-0.4841,-0.072345,-0.48108,0.41505,-4.6425,0.19041,-0.022051,0.17533,0.54498,-0.79583,0.47123,-0.77382,-0.10413,0.62366,-0.051321,0.39087,-0.47997
white,-0.4473,-0.8417,0.49491,-0.26619,0.4591,0.54742,0.90624,-0.2706,0.37541,0.16718,0.51811,0.11713,-4.666,-0.63828,-0.81939,-0.63082,0.69305,-0.57137,0.17595,1.1584,-0.12216,0.55775,0.50158,-0.74261,-0.18446
told,-0.57892,1.1346,1.0129,-0.062693,-0.56713,-0.84719,0.7593,-0.22346,-0.51923,-0.011842,-0.13563,0.8834,-4.9793,-0.59586,0.32596,-0.18255,0.91633,-0.32391,-0.12817,-0.52687,1.8456,0.79692,0.095418,0.054236,-0.70188
thats,0.34702,0.65298,0.047867,-0.3331,-0.025592,0.44078,1.4383,-0.3412,-1.1201,0.36177,-1.1412,1.1664,-4.5377,-0.4963,0.51741,0.28513,0.66574,-0.45996,-0.1488,0.4492,1.1993,0.72294,0.4881,0.83289,-0.088708
together,-0.54553,0.19803,0.70528,-0.004893,-0.38275,-0.14971,1.3568,-0.59197,-0.63162,-0.16561,-0.68868,0.7025,-4.4512,0.031839,-0.35287,0.68185,-0.53154,-1.0276,0.095073,-0.6751,-0.52726,0.11835,-0.15812,0.18694,0.34118
hear,-0.009402,1.0358,0.47326,0.58531,-0.77138,-0.40981,2.0618,-0.085963,-0.035873,-0.17337,-1.0214,0.84913,-4.4206,-0.27942,0.054748,0.67025,0.24902,-0.21173,-0.22576,-0.70656,0.57711,0.12407,0.5776,-0.099198,0.015637
thinking,-0.29746,0.78793,0.45029,0.371,-0.17863,1.0493,1.7053,-0.91924,-0.30753,0.56657,-0.74642,0.80833,-4.2461,-0.45101,0.54667,0.60748,-0.21891,-0.24926,-0.080301,-0.86897,0.2152,0.13923,-0.53761,0.26389,-0.4062
finally,-0.75371,0.99141,0.88145,-1.3811,-0.54577,-0.36714,1.8654,-0.30522,-0.57373,-0.066751,0.58232,0.71077,-3.9721,0.049785,0.45355,0.029708,0.35338,-0.063991,-0.47864,-0.82756,-0.21188,-0.013916,0.41987,0.96869,-0.1396
seriously,0.026199,0.05695,0.30047,-0.87966,-0.42375,0.28491,2.2415,-0.31252,-0.72916,0.43803,-0.45708,0.57048,-4.0313,-0.74041,0.81312,0.68709,0.26678,-0.73963,-0.16745,-0.79715,0.71653,0.46091,-0.11779,0.3346,-0.56346
hours,-0.091208,0.95147,1.1417,-0.58865,0.11207,0.10658,1.8363,-1.1413,-0.75676,0.67536,-0.45425,0.18928,-3.9292,0.98729,0.73036,0.063893,0.21606,-0.16015,-0.71509,-1.1364,-1.0479,-0.71461,0.62588,0.45426,0.023341
excited,-0.58288,0.21264,0.80878,-1.8699,-0.75279,0.25626,2.4894,0.01159,-0.91351,-0.76168,-0.95069,0.14685,-3.5693,0.41959,0.3255,0.25436,0.65795,-0.86333,-0.78458,-0.70595,-0.74767,-0.048025,-0.56879,0.61453,0.014432
